Story ID,Story Name,Description,Priority,Iteration (Sprint) number,Acceptance Criteria,Estimation,Notes,Date started (or planned),Date finished (or planned)
US-26,Post job,"As a MO
I want to post a new TA vacancy 
so that students can apply for the position",Must,2,"1. MO can enter module name.
2. MO can enter job title (e.g., TA, Tutor).
3. MO can provide job description (e.g., responsibilities, tasks).
4. MO can define required skills for the position (e.g., communication skills, technical knowledge).
5. MO can specify the application deadline.
6. MO can choose workload (e.g., weekly hours or tasks).
7. MO can click Save to save the vacancy as a draft.
8. MO can click Publish to make the vacancy visible to students.",5,,2026-04-05,2026-04-12
US-27,Select applicants,"As a MO
I want to select a suitable TA from the applicants 
so that I can assign them to the position.",Must,2,"1. MO can view the detailed profiles of applicants.
2. MO can see skills, experience, and availability for each applicant.
3. MO can select one applicant and mark them as selected.
4. MO can reject applicants if not selected.
5. MO can update the application status to ""Selected"" or ""Rejected"".
6. MO can notify the selected applicant via email or in the system (if email integration is available).MO can view the detailed profiles of applicants.
7. MO can see skills, experience, and availability for each applicant.
8. MO can select one applicant and mark them as selected.
9. MO can reject applicants if not selected.
10. MO can update the application status to ""Selected"" or ""Rejected"".
11. MO can notify the selected applicant via email or in the system (if email integration is available).",5,,2026-04-05,2026-04-12
US-28,View Applicant List,"As an MO
I want to view a list of applicants who have applied for the TA vacancy 
so that I can review and compare their qualifications",Must,2,"1. MO can view a list of all applicants for each vacancy.
2. Each applicant's name and profile summary (e.g., qualifications, skills) are displayed.
3. MO can see application status (e.g., Pending, Shortlisted, Rejected).
4. MO can filter applicants by criteria like skills or status.
5. MO can click on an applicant's name to view the full profile.MO can view a list of all applicants for each vacancy.
6. Each applicant's name and profile summary (e.g., qualifications, skills) are displayed.
7. MO can see application status (e.g., Pending, Shortlisted, Rejected).
8. MO can filter applicants by criteria like skills or status.
9. MO can click on an applicant's name to view the full profile.",5,,2026-04-05,2026-04-12
US-29,Skill matching,"As an MO
I want the system to suggest potential applicants based on their skills 
so that I can quickly identify suitable candidates for the position.",Could,2,"1. The system compares job requirements (e.g., skills, experience) with applicant profiles.
2. A matching score or label (e.g., High, Medium, Low) is displayed next to each applicant.
3. MO can override the system's suggestion and make a final decision manually.
4. MO can click on the matching result to view more detailed reasoning behind the match.",5,,2026-04-05,2026-04-12
US-30,View TA workload,"As an administrator
I want to check TA workload
So that no TA is overloaded.",Should,2,"1. Admin can view TA assignments
2. System shows number of assigned jobs
3. Warning displayed if workload exceeds limit",3,,2026-04-05,2026-04-12
US-31,Balance TA workload,"As an administrator
I want the system to recommend TAs with lower workload
So that tasks can be distributed more fairly.",Should,3,"1. System calculates workload of each TA
2. TAs with lower workload are highlighted
3. Recommendations appear when MO assigns jobs",5,,2026-04-13,2026-04-26
US-32,Manage users,"As an administrator
I want to manage user accounts
So that I can maintain system security and integrity.",Must,1,"1. Admin can view list of users
2. Admin can deactivate or delete user accounts
3. Admin can view user roles",3,,2026-03-22,2026-04-04
US-33,Manage job postings,"As an administrator
I want to manage job postings
So that inappropriate or outdated jobs can be removed.",Should,1,"1. Admin can view all job postings
2. Admin can edit job information
3. Admin can delete job postings",3,,2026-03-22,2026-04-04
US-34,Export recruitment data,"As an administrator
I want to export recruitment data
So that I can analyze recruitment results externally.",Could,1,"1. Admin can export applicant data
2. Admin can export job application records
3. Data can be exported as CSV or Excel file",3,,2026-03-22,2026-04-04
US-35,Override application status,"As an administrator
I want to force-change TA application status from the status-filtered lists
So that I can correct or override MO decisions when needed.",Should,4,"1. On the Pending list, admin can Force accept or Force reject each application.
2. On the Accepted list, admin can Force reject or Force pend.
3. On the Rejected list, admin can Force accept or Force pend.
4. Status updates are persisted the same way as normal workflow.
5. After an action, admin sees feedback on the list page.",3,,2026-04-27,2026-05-16
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,




,,,,,
