Story ID,Story Name,Description,Priority,Iteration (Sprint) number,Acceptance Criteria,Estimation,Notes,Date started (or planned),Date finished (or planned)
US-14,Apply for job,"As a TA applicant
I want to apply for a job
So that I can be considered for the position.",Must,1,"1. Applicant can submit application
2. Application record is stored
3. Confirmation message is displayed",5,,2026/3/20,2026/3/27
US-15,Check application status,"As a TA applicant
I want to check my application status
So that I know whether I am selected.",Should,2,"1. Applicant can see application status
2. Status includes pending, accepted, rejected
3. Status updates when MO makes decision",3,,2026/3/28,2026/4/5
US-16,Post job,"As an MO (Module Organiser), I want to post a new TA (Teaching Assistant) vacancy so that students can apply for the position",Must,1,"MO can enter module name.

MO can enter job title (e.g., TA, Tutor).

MO can provide job description (e.g., responsibilities, tasks).

MO can define required skills for the position (e.g., communication skills, technical knowledge).

MO can specify the application deadline.

MO can choose workload (e.g., weekly hours or tasks).

MO can click Save to save the vacancy as a draft.

MO can click Publish to make the vacancy visible to students.",5,,2026/3/20,2026/3/27
US-17,Select applicants,"As an MO, I want to select a suitable TA from the applicants so that I can assign them to the position.",Must,1,"MO can view the detailed profiles of applicants.

MO can see skills, experience, and availability for each applicant.

MO can select one applicant and mark them as selected.

MO can reject applicants if not selected.

MO can update the application status to ""Selected"" or ""Rejected"".

MO can notify the selected applicant via email or in the system (if email integration is available).MO can view the detailed profiles of applicants.

MO can see skills, experience, and availability for each applicant.

MO can select one applicant and mark them as selected.

MO can reject applicants if not selected.

MO can update the application status to ""Selected"" or ""Rejected"".

MO can notify the selected applicant via email or in the system (if email integration is available).",5,,2026/3/28,2026/4/5
US-18,View TA workload,"As an administrator
I want to check TA workload
So that no TA is overloaded.",Should,2,"1. Admin can view TA assignments
2. System shows number of assigned jobs
3. Warning displayed if workload exceeds limit",3,,2026/3/22,2026/4/4
US-19,Balance TA workload,"As an administrator
I want the system to recommend TAs with lower workload
So that tasks can be distributed more fairly.",Should,2,"1. System calculates workload of each TA
2. TAs with lower workload are highlighted
3. Recommendations appear when assigning jobs",5,,2026/4/5,2026/4/12
US-20,Manage users,"As an administrator
I want to manage user accounts
So that I can maintain system security and integrity.",Must,2,"1. Admin can view list of users
2. Admin can deactivate or delete user accounts
3. Admin can view user roles",3,,2026/4/5,2026/4/12
US-21,Manage job postings,"As an administrator
I want to manage job postings
So that inappropriate or outdated jobs can be removed.",Should,2,"1. Admin can view all job postings
2. Admin can edit job information
3. Admin can delete job postings",3,,2026/4/5,2026/4/12
US-22,Export recruitment data,"As an administrator
I want to export recruitment data
So that I can analyze recruitment results externally.",Could,3,"1. Admin can export applicant data
2. Admin can export job application records
3. Data can be exported as CSV or Excel file",4,,2026/4/13,2026/4/26
US-23,Skill matching,"As an MO, I want the system to suggest potential applicants based on their skills so that I can quickly identify suitable candidates for the position.As an MO, I want the system to suggest potential applicants based on their skills so that I can quickly identify suitable candidates for the position.",Could,3,"The system compares job requirements (e.g., skills, experience) with applicant profiles.

A matching score or label (e.g., High, Medium, Low) is displayed next to each applicant.

MO can override the system's suggestion and make a final decision manually.

MO can click on the matching result to view more detailed reasoning behind the match.",5,,2026/4/13,2026/4/26
US-24,Identify missing skills,"As a TA applicant
I want the system to identify missing skills
So that I can improve my qualifications.",Could,3,"1. System compares CV with job requirements
2. Missing skills are highlighted
3. Suggestions are displayed",8,,2026/4/13,2026/4/26
US-25,TA Registration,"As a Teaching Assistant applicant, I want to register an account with basic information so that I can create and access my applicant profile.",Must,1,"1.Required fields enforced2.Email format valid & unique 3.Password meets policy 4.On success, account created and user can proceed to login (or is logged in).",3,Supporting story to enable applicant profile creation in TA recruitment system.,2026/3/20,2026/3/27
US-26,TA Login,"As a Teaching Assistant applicant, I want to log in securely so that I can access my profile, CV upload, and job applications.",Must,1,1) Correct credentials authenticate and redirect to applicant area; 2) Incorrect credentials show clear error; 3) Session established for subsequent requests.,3,User management core authentication.,2026/3/20,2026/3/27
US-27,TA Logout,"As a Teaching Assistant applicant, I want to log out so that my account remains secure on shared devices.",Must,1,1) Logout ends session/token; 2) Redirect to login/landing; 3) Back button does not restore authenticated access.,2,Security baseline.,2026/3/20,2026/3/27
US-28,Create Applicant Profile,"As a Teaching Assistant applicant, I want to create an applicant profile so that I can use the recruitment system to apply for TA opportunities.",Must,1,1) Only authenticated users can create a profile; 2) Required profile fields validated; 3) Profile saved and retrievable after re-login.,3,Explicit requirement in handout: TA can create an applicant profile.,2026/3/20,2026/3/27
US-29,Access Control for Applicant Features,"As a Teaching Assistant applicant, I want only logged-in users to access profile and application features so that my personal data is protected.",Must,1,"1) Unauthenticated access to protected pages redirects to login; 2) After login, return to intended page; 3) Auth checks apply to all protected endpoints.",3,Security requirement for user management.,2026/3/20,2026/3/27
US-30,View Applicant Profile,"As a Teaching Assistant applicant, I want to view my saved profile so that I can confirm what recruiters will see.",Should,2,1) Only authenticated owner can view; 2) Displays latest saved values; 3) Handles missing/incomplete fields gracefully.,2,Supports confidence and transparency.,2026/3/28,2026/4/5
US-31,Request Password Reset,"As a Teaching Assistant applicant, I want to request a password reset so that I can regain access if I forget my password.",Should,2,1) Request via registered email; 2) Response does not reveal whether account exists; 3) Reset token/link generated and expires.,3,Account recovery.,2026/3/28,2026/4/5
US-32,Complete Password Reset,"As a Teaching Assistant applicant, I want to set a new password using a reset link so that I can log in again.",Should,2,1) Valid token allows setting new password; 2) Password meets policy; 3) Token single-use; 4) User can log in with new password.,3,Account recovery completion.,2026/3/28,2026/4/5
US-33,Edit Applicant Profile,"As a Teaching Assistant applicant, I want to edit my profile so that my application details stay accurate.",Should,2,1) Only profile owner can edit; 2) Changes validated and saved; 3) Updated data appears on view page.,2,Completes create/view lifecycle.,2026/3/28,2026/4/5
US-34,AI Job Recommendation,"As a TA applicant
I want the system to recommend suitable TA jobs
So that I can quickly find positions that match my skills.",Could,3,"1. System analyses applicant profile and CV
2. System recommends relevant TA jobs
3. Recommended jobs are displayed on the dashboard",5,AI recommendation feature,2026/4/13,2026/4/26
US-35,View Applicant List,"As an MO, I want to view a list of applicants who have applied for the TA vacancy so that I can review and compare their qualifications",Must,1,"MO can view a list of all applicants for each vacancy.

Each applicant's name and profile summary (e.g., qualifications, skills) are displayed.

MO can see application status (e.g., Pending, Shortlisted, Rejected).

MO can filter applicants by criteria like skills or status.

MO can click on an applicant's name to view the full profile.MO can view a list of all applicants for each vacancy.

Each applicant's name and profile summary (e.g., qualifications, skills) are displayed.

MO can see application status (e.g., Pending, Shortlisted, Rejected).

MO can filter applicants by criteria like skills or status.

MO can click on an applicant's name to view the full profile.",5,,2026/3/20,2026/3/27
US-36,Applications Manage,"As a TA applicant
I want to view a list of positions I have applied for and adjust their priority order
So that I can inform the MO which positions I prefer to be assigned to first.",Should,20,"1. View List: User can view a list of all submitted TA applications
2. Status Display: Each entry must show the position name and current status
3. Reorder: User can change the preference order of applications",3,Essential for the algorithm to resolve multiple offers,2026/4/6,2026/4/15
